,Sentence,Target
904,"Having disposed of the most difficult question in the case, we pass on to the sufficiency of the evidence to support this conviction for assault with intent to murder.",Analysis
2080,After a brief time they apprehended the appellant as he was leaving and with him they entered the house and searched it.,Facts
2349,Such method of proving prior convictions has been approved by this Court.,Others
2347,Proof was made that the two prior convictions were final convictions and that the offense for which appellant was convicted in 1953 was committed after appellantâ€™s first conviction in 1949 had become final.,Facts
3026,"35 of our Constitution, which says, in substance, that no bill, with certain exceptions (being general appropriations bills) shall contain more than one subject, which shall be expressed in its title.",Rule/Law/Holding
2758,On Motion to Reinstate the Appeal,Facts
3358,"The prior act provided for confinement in the penitentiary for not more than two years and also contained a provision for confinement in jail and a provision for a fine of not less than $25 nor more than $500, or by such fine and imprisonment in jail.",Rule/Law/Holding
411,"The basis of this motion is that this cause of action for negligent hiring, training and supervision of the defendant employees is not within the scope of the claim filed by plaintiff, and thus barred.",Issue
348,The Court is of the opinion that he foregoing Order involves a controlling issue of law as to which there is a substantial ground for difference of opinion and that an immediate appeal from the Order may materially advance the ultimate termination of the litigation.,Facts
2843,"The information alleges that, in exchange for $7 cash, the appellant, with fraudulent intent, gave the injured party a $17 check drawn on his bank account knowing at the time that he had insufficient funds in the account to pay the check and that the check was returned unpaid for that reason.",Facts
2463,"For the reason stated, the judgment is reversed and the prosecution ordered dismissed.",Conclusion
1388,"The affidavit and warrant being valid, no error is shown in the admission of the results of the search.",Analysis
3460,We think there is no semblance or analogy between the authorities cited by appellant and this case.,Analysis
673,Appellant objected to the,Invalid
2316,The prosecution arose in the corporation court where appellant was found guilty and assessed a $200 fine.,Facts
1873,We find no basis to disturb the punishment assessed by the jury.,Analysis
665,Appellant insists that the evidence is insufficient to sustain the conviction because it does not show that the house in question was one of prostitution.,Issue
2152,"Trial was had and notice of appeal given on October 20, 1959.",Facts
1793,This question was raised for the first time on appeal.,Others
3436,"Under the record, we remain convinced that the issue of appellant’s execution of the bond was not raised by a proper plea of non est factum and that the court did not err in overruling the motion for new trial on such ground.",Analysis
378,"Defendant was indicted for Theft by Deception on July 28, 1979.",Facts
3178,"If in fact the appellant had served one or more jail terms, it is apparent that the jury would have been misled by the argument that the jury would ruin his life if they convicted him because he would have to go to jail.",Analysis
1324,"State, 35 S.W. 973, a murder conviction, the punishment, a life sentence in the penitentiary, it was held that there was no abuse of discretion to discharge the jury because they could not agree after they were together 21 hours, including a night and time for meals, without defendantâ€™s consent; and therefore a plea of former jeopardy set up in the second trial was properly stricken out.",Invalid
564,After he left I told the woman to give me a fifth of Ten High.,Facts
2183,"The offense is driving while intoxicated; the punishment, 3 days in jail and a fine of $50.",Issue
2420,And further contends that if he did convert said automobile the evidence fails to show that it occurred in El Paso County.,Issue
2181,No issue was raised in the trial court before verdict concerning proof of venue.,Facts
1089,It was also admissible to show the intent of appellant to perform the abortion.,Analysis
1122,"Lem Calhoun testified that he owned three cedar yards, that the prices stated by Harden Wallace in his testimony were the selling prices for such posts in the three yards, and he considered such prices to be the reasonable market value on the day in .question.",Facts
2092,The nude body of deceased was found lying on a bed in the room she occupied with appellant.,Facts
2535,"Appellant complains of the overruling of his objection to certain questions propounded to him on cross-examination by Stateâ€™s counsel in which he was asked, in substance, if he was telling the jury that Officer Gilbert was lying and not telling the truth when he testified that appellant had the bottle of whiskey in his pocket.",Facts
1736,"There being sufficient evidence to support the juryâ€™s verdict, the discrepancies in the testimony of the officers do not render such evidence insufficient to sustain the conviction.",Analysis
977,"However, it does not appear that exception was reserved to the courtâ€™s failure to submit the issue.",Facts
1840,"Upon a search, fifteen cases of beer were found in the car.",Facts
634,Appellant complains that the indictment is defective in not charging him with using either â€œaâ€ gun or â€œtwoâ€ guns.,Issue
1484,The fact that the felony punishment has been reduced since the conviction is not ground for attacking the conviction by habeas corpus.,Analysis
2772,"Patrick K. Duffy, the stateâ€™s only witness, and foreman of the jury on the trial of the case, testified that he voted for the death penalty on the first ballot; that the Selby case was only mentioned when someone said: â€œif [Selby] was in Houston he would have gotten the death penalty, and someone said they read in the newspaper that he could be eligible for parole in 8 or 10 years or something of that nature.â€",Facts
1302,"She was dressed in tight black trousers, black upper garment, and black scarf over her head.",Facts
2807,"The conviction is for failure to stop and render aid; the punishment, one year in jail and a fine of $500.",Facts
1404,"The appellantâ€™s written statement made May 22, 1961, and introduced in evidence by the state, recites in part:",Rule/Law/Holding
1105,"It was the testimony of those in appellantâ€™s group that, while at the cafe, Hartwell said, â€œThere is that s.o.b.",Facts
3468,"Where there are two or more district courts having concurrent jurisdiction and statutory authority to transfer cases from one to the other, the omission of such order of transfer in the record cannot be complained of by the appellant in the absence of a timely plea to the jurisdiction on that ground.",Rule/Law/Holding
334,"An initial hearing was had on this matter on December 17, 1979, with proceedings continued until December 27, 1979 so that the parties could have additional time to brief the issues presented.",Facts
767,"At the close of appellantâ€™s testimony, the State introduced into evidence the written statement he had made concerning the purchase of the merchandise.",Facts
3008,“Defendant duly sentenced.,Conclusion
2508,"R. 262, 226 S.W. 2d 873, and we there held that the punishment assessed was not authorized by the statute and reversed the conviction.",Invalid
1344,"Testifying as a witness in her own behalf, she admitted that she was mad at the deceased and was holding the gun on the deceased at the time he was shot in the chest, but that she did not intend to kill him.",Facts
874,"For the defect pointed out in the information, the judgment is reversed and the cause is remanded.",Conclusion
1623,The question was asked:,Invalid
1638,The record reflects that on cross-examination by appellantâ€™s counsel the arresting officer testified that appellant told him at the time of his arrest â€œif he got,Invalid
3273,"State, supra, it was held that the collision occurred on a public highway.",Facts
1301,She told him that he was hurting her and after a short time he left.,Facts
1264,"Roosevelt Eubanks, testifying for the State, related that he knows appellant; that appellant was living with him on September 4, 1960; that he last saw appellant on that date between 9:00 and 9:15; that about twenty minutes later police came and he gave them permission to search his house.",Facts
704,Appellant was carrying two bottles of whisky.,Facts
2994,With such contention we do not agree.,Conclusion
2393,"â€œAt that particular moment, I said on the telephone which I knew she could not have heard, I said â€˜Wait, and run into the street, until I get there, and Iâ€™ll pick you up and carry you to the police station and have an indictment returned against him (her husband) â€™ that he was afraid for her life; that when he got there, Fryer and his wife were in the middle of the street, and Fryer was hitting her â€œin the temple of the mole of her headâ€ with a pistol; that he said â€œFool, you had better shove him and run, because heâ€™s going to blow your brains outâ€; that Fryer didnâ€™t say a word; Mrs. Fryer was â€œcoming in my general directionâ€ when he shot - â€œI shot him when he leveled down * * * the pistol * * * I was still in the car.â€",Facts
2467,The beer introduced as exhibits is described in the statement of facts as â€œbeing two (2) cartons of canned beer containing two and one half (2%) cases.â€,Facts
31,If the copy of testimony is not served as provided in this section the court shall on motion of the defendant continue the trial to such time as may be necessary to secure to the defendant receipt of a copy of such testimony ten days before such trial.,Facts
901,"Hartwell, the injured party, and two companions had repaired across the state line to a bar in New Mexico.",Facts
2369,"Officer Tackitt testified without objection to these facts, hence appellant is in no position to rely upon his objection to Officer Donahoeâ€™s testimony to the same facts.",Analysis
1517,The judgment is reversed and the cause remanded.,Conclusion
1913,"We know of no authority which holds that because an instrument for some reason is not a negotiable instrument under the Negotiable Instrument Act, 5932 V.R.C.S., it may not be the subject of forgery.",Analysis
745,"Are you the same Billie Yvonne Coleman that in Cause No. 2274 in Judge Glen Byrdâ€™s Court, was convicted of the offense of vagrancy, to-wit, being then and there a common prostitute?â€",Facts
42,"At the time said order was issued, the Government did not make any objection to the blanket prohibition.",Facts
1752,"There was no evidence showing or tending to show that appellant was not guilty of the offense charged, as was the case in Burks v.",Invalid
1077,It is evident from the record that the jury deliberated approximately twice as long as they heard evidence.,Facts
2961,We call attention to the evidence as to the comparison of the plaster cast with appellantâ€™s shoe plus the fact that appellant gave a fictitious address when he sold the cattle.,Analysis
827,Did he have his private parts in you then?,Facts
2536,Appellantâ€™s answer to the inquiry was in the affirmative.,Facts
2065,"â€œWe have been unable to see in what way the details of the injuries sustained by Mrs. Ripley and the resulting pain and suffering and probable continuance thereof shed any light upon the question of whether appellant was intoxicated, and if objection thereto had segregated this part from the evidence which was admissible a most serious question would have been presented.â€",Facts
3305,"The deceased was in the front seat of the latter car, opposite the driver, and was killed as a result of the collision between the two cars.",Facts
2133,Appellant cites a number of cases where pictures were found to be inflammatory and not admissible under the facts.,Issue
1950,"When the courtâ€™s attention was called to the fact that the State had not completed the proof as to the chain of custody, the court instructed the jury to disregard the exhibits and stated that the jury had not seen them because they were in a sack.",Facts
2472,"The evidence is undisputed that appellant was not present when the beer was seized, and there is no evidence that he sold or offered to sell any beer, or that beer was sold at his hotel.",Facts
34,"This matter came for hearing on May 16, 1980, to consider defendant Government's motion to strike certain documents attached in support of plaintiff's motion in opposition to summary judgment.",Facts
2491,The objection to the courtâ€™s charge and the refusal of a requested charge show no error.,Analysis
3094,Appellant was put in the patrol car and was taken by Officer Williams into Tyler to the sheriff’s office.,Facts
2628,"Deputy Sheriff Roy C. Willim, Identification Officer of the Sheriffâ€™s Department of El Paso County whose qualifications as a fingerprint expert were shown, testified that he had made a comparison of certain fingerprints which he had taken of the appellant with the fingerprints contained in the prison records, and, that in his opinion both prints were of one and the same person.",Facts
2336,"Osborn testified that, on the date alleged, when he returned home with his family from a Colorado vacation and drove into the driveway, he saw appellantâ€™s automobile backed up to the garage with the trunk lid open and appellant standing inside the garage; that when appellant saw him he ducked through a door into the back yard; that he proceeded to appellantâ€™s automobile and observed three guns in the open trunk, being two rifles and a shot gun, which he identified as his guns that he had left locked in a gun case in his home.",Facts
2623,Complaint is again made as to the service on appellant Martin.,Facts
2471,The beer I put in the coke box was for my own personal use.â€,Facts
3129,By entering a plea of guilty the accused cannot restrict the right of the state to introduce relevant evidence showing the commission of the offense with which he is charged.,Rule/Law/Holding
122,"However, Government Code Â§21502 is, at first blush, ambiguous.",Analysis
1903,"We have examined the authorities cited, and it it apparent from the opinion in each of them that the person who made the attempted appointment which led the accused to believe he had authority to act was in fact a de jure officer.",Facts
817,"D. Asbill, a Dallas police officer, called by the state on rebuttal, testified that he was assigned to the special service bureau of the police department, that his department approved applications of dance hall supervisors but that such approval does not give the applicant any police power or authority to carry firearms.",Facts
1405,The application of this rule to the facts in this case shows no error.,Analysis
2366,The jury accepted the stateâ€™s version of the facts and the evidence sustains its verdict.,Facts
1354,That is all you have to prove.,Others
420,"Furthermore, this Court cannot change the law under the guise of construction so as to only apply to business entities.",Rule/Law/Holding
2741,No brief has been filed in appellantâ€™s behalf and there are no bills of exception.,Facts
3108,Art. 3 of Section 35 of the Texas Constitution does not prohibit the enactment of a bill making the first offense a misdemeanor and subsequent convictions a felony.,Rule/Law/Holding
1910,"We here think that the trial judge fully understood the question, but that he later fell into error in admitting the testimony after he had stated: â€œGentlemen, in this case the injuries were less than death.",Analysis
2570,"Appellant argues with much force that her possession of heroin, shown by the stateâ€™s evidence, was only such as necessarily resulted from her accommodation of Armstrong in its purchase.",Issue
408,Does this violate his freedom of expression?,Issue
3310,The evidence introduced by the state consisted of the testimony of two police officers who testified that they stopped appellant on Stemmons Freeway after observing him drive at a speed,Invalid
2449,"Sentence was pronounced on October 29, 1957, but execution thereof was suspended and appellant was granted probation.",Facts
368,"The election would have to be made before the filing of claim, let alone a law suit.",Facts
774,"At this time, she called her sister for assistance, and a short time thereafter a small baby was born.",Facts
2099,"Dr. Ashworth testified that some of the bruises could be explained by the deceased having fallen on the floor, but others which produced serious internal injury would require a greater amount of force than would have been achieved by the body falling a relatively short distance, as from the height of a bed.",Facts
1598,"The other contentions presented have been considered, and they do not show error.",Analysis
1333,"Subdivision (b) of Article 14.02 of the Election Code (as amended in 1955, Acts, 54th Legislature, page 503) provides:",Invalid
1823,"Trial was at the July-October, 1961, term of the court upon appellantâ€™s plea of guilty to the indictment and waiver of a trial by jury.",Facts
153,"In People v. Pipes, 179 Cal. App. 2d 547 (1969), referring to the California statute which was in effect at the time of certain grand jury proceedings and the defendant's request for a copy of such proceedings, the court noted:",Rule/Law/Holding
2124,"The photographs were admitted over the objection â€œthey donâ€™t add anything to the testimony which has already been testified to, they show the bruises and marks, they are inflammatory * * â€™.",Facts
3227,No other negligent act or omission on the part of appellant is shown save excessive speed.”,Facts
898,"Harden Wallace testified, without objection, that the 101 posts, which he described by size and gave the reasonable market value of each such size, had a reasonable market value of $64.19 at the time and place they were removed from the cedar yard, that being the price at which such posts were sold at the yard.",Facts
1038,In the absence of any showing of injury or prejudice the courtâ€™s refusal to require the production of the offense report is not ground for reversal.,Analysis
2529,He denied that at such time he was carrying a bottle of whiskey.,Facts
2609,"Art. 425 V.A.C.C.P., provides that the judgment nisi â€œ* * * shall state that the same will be made final, unless good cause be shown at the next term of court why the defendant did not appear.â€",Rule/Law/Holding
268,13-116 after the expiration date.,Invalid
2756,On Appellantâ€™s Motion for Rehearing,Facts
1189,Officers went to appellantâ€™s premises with a search warrant and found 10 one-half pints of vodka 35 or 40 feet south of the back of his house and outside of his enclosure.,Facts
3243,ON MOTION FOR REHEARING,Others
696,"Appellant testified that on the night in question, he returned to the apartment around 12:30 A.M., and entered by â€œjimmyingâ€ the lock which he had done on prior occasions.",Facts
1982,"While they were in the store, a shot was fired and the two ran outside and fled.",Facts
1451,The court reporterâ€™s certification that the statement complained of is not reported verbatim and was,Invalid
3396,"The tracks of a man in front of the Oldsmobile leading toward the Hatcher residence were seen, but they disappeared at the driveway.",Facts
832,Do you think that he only put his private parts into you just a little way?,Facts
2867,The prior opinion is withdrawn.,Conclusion
1635,The record of the Department of Public Safety introduced,Invalid
1375,The Stateâ€™s evidence shows that appellant was stopped and arrested around 2 A.M. by Officer Don Garrison after he had clocked appellant driving his automobile at a speed of 80 miles per hour on the Pan American Expressway in the city of San Antonio.,Facts
1480,The evidence was undisputed that appellant drove his automobile upon a public highway on the date in question and after,Invalid
1161,"Now, then, after the defendant was placed under arrest I believe you stated you drove his automobile to town, is that correct?",Facts
156,"See, 2A Moore's Federal Practice Paragraph 8.27 [3] and Wright, and Miller, Federal Practice and Procedure: Civil Â§1278.",Rule/Law/Holding
1855,"We are aware of no statute which makes it an offense to â€œunlawfully and wilfully Pass-insufficient Clearanceâ€, and it is clear that if there were such a statute it would be void for indefiniteness.",Analysis
3269,"She stated that at such time she was scared and that, after the man left the house, she saw a 1955 blue and white Chevrolet automobile with a mirror on the fender and “loud tail pipes” drive out of the driveway.",Facts
3388,The statement of facts appearing in the record has been approved by counsel for appellant only.,Facts
3078,"Appellant repudiated that portion of his confession in which he admitted going to her home and also, by his testimony, raised an issue as to the voluntary nature of the confession.",Facts
768,"At the close of the evidence, the plea of guilty which had been entered by the appellant in the beginning of the trial was withdrawn by the court and a plea of not guilty was entered for her.",Facts
1778,This Court held that failure to copy such words in the indictment did not create a variance.,Analysis
1443,"The court charged on appellantâ€™s right of self-defense against an unlawful attack by Hartwell, based upon the testimony that Hartwell made the first overt act with the lantern.",Analysis
2170,"We overrule the contention that the evidence is insufficient to sustain a finding by the jury that the appellant drove an automobile on a public highway at the time in question, and point out that the appellantâ€™s statement that he was the driver of the automobile involved in the collision was a res gestae statement as well as a statement in the nature of an oral confession.",Conclusion
252,"People v. Fitzgerald, 14 Cal.App 2d 180 (1936) cert.",Invalid
285,"(Transcript, page 16).",Invalid
892,"George Dowdy, captain of police, called by the state in rebuttal, testified that he was in charge of the Dallas Police Depart",Facts
95,"Such an inquiry may lead a court into examination of legislative purpose, the overall statutory scheme, statutory arrangements in connected fields and the needs of the public.",Analysis
2829,"The evidence is sufficient to support the conviction and no reversible error appearing, the judgment is affirmed.",Conclusion
1336,Such evidence was held admissible in Carrier v.,Invalid
3338,The objections to the charge are that it shifts the burden of proof to the appellant; that it fails to charge the law of reason,Invalid
164,"This being the case, the Government of Guam cannot, as a matter of law, be a third party with respect to plaintiff.",Conclusion
790,"Both officer Hickman and officer Laughlin testified that, as a result of appellantâ€™s later story that he had bought the merchandise in question from an employee of the junk yard just before officer Hickman arrived at the scene, they investigated all the employees of the junk yard but could not find anyone fitting the description given to them by appellant.",Facts
2149,Appellant also introduced into evidence certain duly authenticated papers accompanying the requisition.,Facts
3089,"Appellant was convicted in the county court of Smith County of the offense of transporting an alcoholic beverage, to-wit, wine, in a dry area.",Issue
470,A suit filed under the Claims Act is a very narrow and limited area for relief.,Analysis
1254,"Relator, by petition for writ of habeas corpus, seeks his release from custody of the sheriff of Hidalgo County, who holds him under a certain writ issued out of the 92nd Judicial District Court of Hidalgo County, after revocation of probation, commanding that he be delivered to the director of the Texas Department of Corrections.",Facts
2354,The courtâ€™s instruction was sufficient to cure any error therein.,Analysis
457,"Based on the analysis above, the January 8, 1979 Order of the Superior Court compelling settlement in the above-captioned case is vacated, with directions to the Court to file a new order consistent with this Opinion.",Conclusion
568,"After the State had proven by the witness Dr. A. P. Cullen, Jr., that the injured party, Robert Lee Phillips, had among his injuries a broken leg, the following occurred:",Invalid
2319,"The punishment for violation of said ordinance is found in the following section of the Code of Ordinances of the city of Marshall: â€œIt shall be unlawful for any person to violate or fail to comply with any provision of this code, and where no specific penalty is provided therefor, the violation of any provision of this code shall be a fine not exceeding two hundred dollars; provided, where such fine is for an offense for which the state law",Rule/Law/Holding
2285,"He testified that after they had observed this conduct for a short time he and Barnett burst out into the latrine, at which time he saw appellantâ€™s sex organ in an upright position as he withdrew from â€œbodily contactâ€ with Pelton, that Peltonâ€™s rectum â€œwas red and looked like it was turned wrong side out,â€ and likened it to the rectum of a horse immediately after discharging waste matter.",Facts
1181,"Officer Johnston testified that after he entered the house, he was met in the hall by the appellant; that he asked appellant",Invalid
3441,"We agree with appellant’s able counsel and with our able state’s attorney that the Hubbard case, supra, controls, here.",Analysis
385,"Even though there were no guards or steel bars to detain the defendant, the totality of the circumstance confirms that this was custodial interrogation.",Facts
1163,"Number one, he was * * * when he first got out of his pickup, he staggered quite a bit.",Facts
1564,"The offense is felony theft; the punishment, two years.",Rule/Law/Holding
2485,The first is without merit.,Others
1491,The failure to insert the word â€˜unlawfullyâ€™ in the charging part of the indictment does not vitiate it.â€,Analysis
941,He pulled off his pants in myself.,Facts
3354,The only bill of exception which merits discussion relates to the refusal of the court to require counsel for the state to allow appellant’s counsel to examine an arrest sheet or statement of a state witness for cross-examination purposes.,Rule/Law/Holding
1246,Relator challenges the validity of Subdivision (g) of Article 14.08 of the Election Code on the grounds that no penal provision is mentioned in the caption which reads as follows:,Issue
2469,Miller testified that Jerry Thompson had the beer in the kitchen and he got it off the kitchen table.,Facts
45,"During the course of the trial, testimony of plaintiff's witnesses disclosed that at the time of the incident alleged in plaintiff's complaint, plaintiff was driving a car belonging to the Guam Power Authority, that his car was assigned to plaintiff for this work, and at the time of the incident, plaintiff was driving the car to its assigned parking space, pursuant to standing instructions of his employer, the Guam Power Authority, at the time of the incident upon which the complaint is based, plaintiff was within the scope of his employment.",Facts
1857,"We are not unmindful of the decision of the United States Court of Appeals, Fourth Circuit, in Baysden v. U.S., 271 Fed. 2d 325, where it was held that an affidavit for a warrant was not sufficient under Rule 41(c) of the Federal Rules of Criminal Procedure, 18 U.S.C., unless it stated, in addition to the grounds or probable cause for its issuance, the names of the persons whose affidavits had been taken in support thereof.",Analysis
1610,The proper action for the County Court to have taken would be to have entered an order forfeiting relatorâ€™s bond.,Facts
2638,"Finding the evidence sufficient to support the conviction, the judgment is affirmed.",Analysis
2785,"She testified that the drug store was the place that was burglarized; that she did not discuss the case and there was no conversation about the case at all; that the officer was with her at all times; that she did not go back to where the prescriptions are filled; that she did not talk to Mr. Wilcox, the owner, and did not know him; and did not inspect the roof or observe anything about the prescription department while in the drug store.",Facts
1956,When they kicked on the door of the room oceupiÃ©d,Invalid
351,The motions were heard by Judge John P. Raker and decision was reserved.,Facts
544,"A short time after they were admitted to the house, the appellant arrived and took them into a bedroom.",Facts
2658,"He is in no position to complain because he had already been served in this cause on May 5, 1959, long prior to the issuance of the alias scire facias.",Analysis
1351,"Testifying in his own behalf, the appellant stated that he and his wife had an argument and scuffle in the trailer house; and that she was using a beer bottle and he grabbed the knife to keep her from getting it; then his father intervened, but that he did not try to stab his father or have him down at anytime.",Facts
2718,"It was further alleged that several jurors then brought up the Selby murder case, about which they had read in the newspapers, to the effect that Selby was given life â€” which meant that he would serve only seven or eight years; that, after several hours of this type argument and the receipt of other testimony about the Selby case and other cases, it was this argument about what â€œlifeâ€ meant that finally brought the ten jurors from a suspended sentence, or a short term, up to a life sentence.",Issue
1797,This was a proper submission of the defensive issue raised by the evidence.,Analysis
3210,It is to be noted that all this testimony was read into the record without objection.,Facts
3289,The caption made no mention whatsoever of any penalty to be included in the amending article.,Rule/Law/Holding
3154,"From an examination of the court’s charge as given, appellant’s objections thereto cannot be sustained.",Analysis
2947,To this answer appellantâ€™s counsel stated: â€œI object at this time to the testimony of Mr. Andrews and move for a mistrial on the ground that he has injected the question of a lie detector test.â€,Facts
825,"Deputy Sheriff J. W. Ratliff testified that on the night in question while on patrol duty with his partner, Jack Middleton, they met an automobile being driven by appellant on Little York Road which was weaving back and forth across the road and that they proceeded to turn around and stop the appellant.",Facts
2204,"Following this occurrence the attorney for the appellant moved for a mistrial, which motion the court overruled.",Facts
2447,I feel that the motion for rehearing should be granted.,Conclusion
1032,"In that case, however, we discussed the Allen case and pointed out the danger of proving unnecessary â€˜gory details.â€™ â€",Analysis
2554,"About 3 P.M. the same day, the deceased entered a pool hall where Robert and appellant were.",Facts
1561,"The offense is driving a motor vehicle upon a public highway while intoxicated; the punishment, 20 days in jail and a fine of $50.",Rule/Law/Holding
778,Ballistics tests showed that a bullet recovered from the body of the deceased had been fired from the appellantâ€™s pistol.,Facts
2574,Appellant contends that the court erred in not permitting his counsel to ask Mrs. Williams whether or not she had an opinion as to whether appellant knew the difference between right and wrong.,Issue
2107,What was she trying to do when you lost your temper?,Facts
1221,"One of these allegations was that he was arrested on April 6, 1961, by the police and charged with breaking into a beer truck and stealing 12 cases of beer.",Facts
864,"Finding no reversible error, the judgment of the trial court is affirmed.",Conclusion
121,"If plaintiff is not an employee of the Government of Guam, then Â§37005 is no bar to this action.",Analysis
1683,"The stateâ€™s testimony, adduced from the two accomplice witnesses, Nations and Matthews, reflects that they did break into the store belonging to Mrs. Cummings and took therefrom numerous items, including shotgun shells and cigarettes.",Facts
2093,"There were numerous lacerations and bruises about the body, including a bruise over the cheek bone and cuts in the scalp, the largest being on the left side going to the bone.",Facts
559,"After appellant departed, the stateâ€™s witness and the deceased left the apartment and returned around 11:30 P.M. When they returned, the deceased went to bed and the prosecuting witness, after undressing, came into the room and sat down on the foot of the bed.",Facts
794,"But he did do that the last time he came in there, in the middle of May?",Facts
3168,His punishment was assessed at a fine of $100 and confinement in jail for thirty days.,Facts
177,Grand Juries Â§43 (1943).,Invalid
2202,"The voluminous statement of facts, consisting of 531 pages, contains only one informal bill of exception.",Facts
1537,The jury returned the following verdict which was received by the court:,Invalid
1377,"The Stateâ€™s proof shows that on June 7, 1961, appellant came into the Gill Grocery store in Wichita Falls, purchased $27.58 worth of groceries and paid for the same by endorsing the check described in the indictment.",Facts
